ChemGroup,Chem,LeBas_Molar_Volume,delt_uow,Kow,log_KowTS,cs_ng.g,cd_ng.g,cp_ng.g,kM,beta,betap
Chlordane,alphaChlordane,340.5,-25,1580000,,0.5,,,0,0.035,0.35
Chlordane,gammaChlordane,340.5,-25,1860000,,0.5,,,0,0.035,0.35
Chlordane,alphaNonachlor,361.4,-25,501000,,0.49,,,0,0.035,0.35
Chlordane,gammaNonachlor,361.4,-25,501000,,0.5,,,0,0.035,0.35
Chlordane,Oxychlordane,250,-25,398,,0.23,,,0,0.035,0.35
Dieldrin,Dieldrin,332.2,-25,302000,,0.5,,,0,0.035,0.35
DDT,op-DDD,312.6,-25,219000,,0.189302326,9.305665792,,0,0.035,0.35
DDT,op-DDE,305.2,-25,427000,,6.704795349,44.88585023,63.87,0,0.035,0.35
DDT,op-DDT,333.5,-25,501000,,1.2,,15.68,0,0.035,0.35
DDT,pp-DDD,312.6,-25,2140000,,3.243651395,19.45333669,,0,0.035,0.35
DDT,pp-DDE,305.2,-25,8510000,,44.74623256,306.1044638,,0,0.035,0.35
DDT,pp-DDT,333.5,-25,2450000,,1.099302326,8.092710587,,0,0.035,0.35
PCB,PCB 8,226.4,-22.7,132000,,0.5,,,0,0.035,0.35
PCB,PCB 11,226.4,-28,186000,,0.36,,47.65,0,0.035,0.35
PCB,PCB 18,247.3,-25,2.00E+05,,0.101054884,13.185837,,0,0.035,0.35
PCB,PCB 27,247.3,-28,251000,,0.44,,,0,0.035,0.35
PCB,PCB 28,247.3,-26.3,457000,,0.166863488,11.43476661,,0,0.035,0.35
PCB,PCB 29,247.3,-28,398000,,0.72,,,0,0.035,0.35
PCB,PCB 31,247.3,-25.9,603000,,0.13606575,6.363272245,,0,0.035,0.35
PCB,PCB 33,247.3,-26,447000,,0.36,,,0,0.035,0.35
PCB,PCB 37,247.3,-28,603000,,0.42,,,0,0.035,0.35
PCB,PCB 44,268.2,-26,661000,,0.405351163,16.2247466,,0,0.035,0.35
PCB,PCB 49,268.2,-27,891000,,0.5,,,0,0.035,0.35
PCB,PCB 52,268.2,-27.3,813000,,0.5,17.33,,0,0.035,0.35
PCB,PCB 56,268.2,-30,1050000,,0.54,,,0,0.035,0.35
PCB,PCB 60,268.2,-30,1320000,,0.61,65.32,140.8,0,0.035,0.35
PCB,PCB 64,268.2,-28,617000,,0.38,,,0,0.035,0.35
