Contaminant,Contaminant class,Phytoplankton,Submerged Macrophyte,Zooplankton,"Diet - Small polychaete (e.g., Harmothoe imbricata)","Diet - Large polychaete (e.g., Neanthes)",Amphipod,Cumacean,Mysid,Bivalve mollusk,Decapod crab,Crangon shrimp,Forage fish - herbivore,Forage fish - planktivore,Forage fish  - primarily benthivore,Forage fish - benthivore,Forage fish - mixed diet i,Forage fish - mixed diet ii,Indicator species 1 - Piscivore,Indicator species 2 - Benthic diet with piscivory,Indicator species 3 - Benthic and pelagic with piscivory,Indicator species 4 - Benthic without piscivory,Indicator species 5 - Benthic and pelagic without piscivory,Indicator species 6 - Benthic with herbivory,Indicator species 7 - Benthic and pelagic with herbivory,Indicator species 8- Pelagic with benthic herbivory
alphaChlordane,Chlordanes,0.354843456,0.331149067,0.604676607,0.974992194,2.165902536,0.996257647,0.762106646,0.789150492,0.817534357,3.034618172,1.305102304,0.7739798,3.243536888,4.287542856,8.222642297,3.115043542,8.57862461,6.351897818,6.459546579,7.732293216,8.940728965,3.178567645,7.055638766,1.813619812,4.867156086
gammaChlordane,Chlordanes,0.338970529,0.309983299,0.610559302,1.049018587,2.355667357,1.058181273,0.792397336,0.82713821,0.842222861,3.234281026,1.391290647,0.771357089,3.421614033,4.700213792,9.102341294,3.392750999,9.335895494,6.983186541,7.148067307,8.429154249,9.743132089,3.446901005,7.349858403,1.915520794,4.889857284
alphaNonachlor,Chlordanes,0.432937651,0.44932859,0.516827744,0.644391349,1.168351559,0.646860559,0.564297833,0.560961979,0.647860754,1.785850314,0.872660323,0.684769008,2.012687656,2.089211975,3.704390256,1.608402306,4.338864684,2.772177728,2.679625379,3.501826713,4.525141931,1.661284393,4.921785657,1.158645923,4.283632941
gammaNonachlor,Chlordanes,0.432937651,0.44932859,0.516827744,0.644391349,1.168351559,0.646860559,0.564297833,0.560961979,0.647860754,1.785850314,0.872660323,0.684769008,2.012687656,2.089211975,3.704390256,1.608402306,4.338864684,2.772177728,2.679625379,3.501826713,4.525141931,1.661284393,4.921785657,1.158645923,4.283632941
Oxychlordane,Chlordanes,0.511233154,0.569358587,0.419885485,0.484753565,0.485235987,0.419970045,0.419910384,0.419893081,0.524780318,0.649926929,0.663081329,0.468731468,0.785891418,0.615572866,0.908347216,0.663676926,1.226075986,0.242744651,0.261965321,0.539863069,0.958038375,0.481749244,1.027805458,0.439100537,1.242560995
Dieldrin,Other pesticide,0.453408685,0.484815521,0.475685677,0.566163136,0.889651479,0.547728398,0.500681759,0.495161502,0.589590326,1.366671717,0.771485608,0.617035461,1.576247902,1.489468683,2.540982147,1.206865457,3.124113159,1.739255386,1.644071251,2.250543592,3.218872995,1.208764358,3.973793268,0.92419977,3.775631944
op-DDD,DDTs,0.462246838,0.500802755,0.455429863,0.533533092,0.767679045,0.504854451,0.472093271,0.466916231,0.562725496,1.170245468,0.731265694,0.578560861,1.368280736,1.232324226,2.054761933,1.039153988,2.590054018,1.293171683,1.212215658,1.720144999,2.625221094,1.005502453,3.42995001,0.807905178,3.411308718
op-DDE,DDTs,0.119048054,0.125408365,0.133487473,0.245853011,0.675949505,0.242524447,0.178276104,0.16519927,0.201320735,0.917641211,0.225056834,0.175595635,0.546911349,0.741988867,1.248222714,0.523840614,1.416329148,0.7841921,0.94710236,0.926338745,1.822343288,0.599469602,2.620902233,0.389591551,2.366523941
op-DDT,DDTs,0.434842936,0.452543556,0.513224457,0.516826388,1.031350625,0.637431521,0.558381781,0.554679528,0.52506842,1.631218462,0.862540736,0.679339254,1.97319425,1.94881971,3.413822965,1.548109587,3.992326429,2.619343373,2.418790476,3.351641978,4.15538801,1.569745081,4.700154531,1.136022346,4.176661907
pp-DDD,DDTs,0.328988323,0.297102466,0.611712468,1.094196736,2.465979709,1.092537828,0.808083775,0.847249456,0.854666603,3.34324788,1.439148655,0.766196682,3.511173469,4.932871248,9.599030052,3.546919276,9.748575153,7.329056788,7.530718848,8.798047887,10.19051736,3.596227554,7.496863028,1.96949602,4.887249188
pp-DDE,DDTs,0.169316682,0.127474732,0.469825643,1.980026277,4.007142968,1.395633738,0.861848227,0.921405134,0.897297807,4.299418362,1.752001706,0.508984284,3.755004108,7.556452225,15.13695034,5.009155599,13.19429097,10.45623235,11.32073315,11.10258876,15.23920574,5.163130116,8.252021755,2.339938791,4.268272905
pp-DDT,DDTs,0.310558991,0.274146753,0.611836814,1.186815132,2.681381658,1.157844296,0.836858893,0.884559216,0.877890514,3.5479043,1.532857307,0.754391927,3.677766437,5.390205103,10.58616964,3.846241176,10.55643448,8.00175917,8.276412053,9.500277997,11.07649893,3.885773433,7.784508829,2.072379087,4.886786099
PCB 8,PCBs,0.472837455,0.520502235,0.429151662,0.495380424,0.62043844,0.453743766,0.437100952,0.433536426,0.529228523,0.920504408,0.686308503,0.52311919,1.099126786,0.927528522,1.489806987,0.845407086,1.940628482,0.771188317,0.725291061,1.117360195,1.87659386,0.754090736,2.568586875,0.650485722,2.731708728
