Biota,mp,mp SD,lipid,lipid SD,nlom,nlom SD,nloc,nloc SD,Wb,Wb SD,taxa,GR,GR SD,assimEff_1,assimEff_2,assimEff_3,assimEff SD
Sediment,0,0,0,0,0,0,0.0102,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0.0012,0.0002,0,0,0.06,0.002,0,0,1,0.08,0.125,0,0,0,0
Zooplankton,0,0,0.01,0.002,0.2,0.01,0,0,0.000000071,0,2,0.00035,0.000035,0.75,0.75,0.55,0.02
Neanthes succinea,0.05,0,0.0075,0.002,0.2,0.01,0,0,0.00011,0,3,0.00035,0.000035,0.75,0.75,0.55,0.02
Amphelisca sp,0,0,0.01,0.002,0.2,0.01,0,0,0.00000313,0,3,0.00035,0.000035,0.75,0.75,0.55,0.02
Nippoleucon hinumensis,0,0,0.01,0.002,0.2,0.01,0,0,0.000005,0,3,0.00035,0.000035,0.75,0.75,0.55,0.02
Mysis sp.,0,0,0.01,0.0025,0.2,0.01,0,0,0.000015,0,4,0.00035,0.000035,0.75,0.75,0.55,0.02
MCAL,0.05,0,0.0086,0.00215,0.1,0.01,0,0,0.0112,0,4,0.00035,0.000035,0.75,0.75,0.55,0.02
CGIG,0.05,0,0.0083,0.00208,0.1,0.01,0,0,0.0105,0,4,0.00035,0.000035,0.75,0.75,0.55,0.02
Harmothoe imbricata,0.05,0,0.0075,0.002,0.2,0.01,0,0,0.0000001,0,3,0.00035,0.000035,0.75,0.75,0.55,0.02
Crangon sp.,0,0,0.02,0.0035,0.2,0.01,0,0,0.000372,0,4,0.00035,0.000035,0.75,0.75,0.55,0.02
Shiner perch 0,0,0,0.02,0.005,0.2,0.01,0,0,0.00131,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Jacksmelt 0,0,0,0.012,0.0025,0.2,0.01,0,0,0.004,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Northern anchovy 0,0,0,0.02,0.005,0.2,0.01,0,0,0.0037,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
White Croaker 0,0,0,0.018,0.004,0.2,0.01,0,0,0.015,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Northern anchovy,0,0,0.025,0.006,0.2,0.01,0,0,0.0215,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Shiner Surfperch,0,0,0.026,0.0094,0.2,0.01,0,0,0.0513,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Jacksmelt,0,0,0.016,0.0073,0.2,0.01,0,0,0.206,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Yellowfin goby,0,0,0.03,0.0075,0.2,0.01,0,0,0.03,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
Plainfin midshipman,0.05,0,0.03,0.0075,0.2,0.01,0,0,0.13,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
White Croaker,0,0,0.035,0.0075,0.2,0.01,0,0,0.371,0,5,0.0007,0.00007,0.92,0.6,0.55,0.02
