Biota,Sediment,Phytoplankton,Zooplankton,Neanthes,Amphelisca,Nippoleucon,Mysis,MCAL,CGIG,Harmothoe,Crangon,Shiner 0,Jacksmelt 0,N Anchovy 0,W Croaker 0,N Anchovy,Shiner,Jacksmelt,Yellowfin,Plainfin,W Croaker
Sediment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neanthes succinea,0.9,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphelisca sp,0.3,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nippoleucon hinumensis,0.15,0.65,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mysis sp.,0.1,0.45,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCAL,0.3,0.65,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CGIG,0.3,0.65,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmothoe imbricata,0.9,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crangon sp.,0,0.3,0.3,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiner perch 0,0.05,0.1,0.2,0.05,0.25,0.25,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0
Jacksmelt 0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern anchovy 0,0,0.2,0.35,0,0.2,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Croaker 0,0.05,0.05,0.2,0.15,0.1,0.1,0.1,0,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0
Northern anchovy,0,0.2,0.2,0,0.15,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiner Surfperch,0.05,0.1,0.1,0.1,0.2,0.2,0.15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
Jacksmelt,0,0.65,0.2,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowfin goby,0,0,0,0.2,0.15,0.15,0,0,0,0.2,0.25,0.05,0,0,0,0,0,0,0,0,0
Plainfin midshipman,0.05,0,0,0.1,0.15,0.15,0.2,0,0,0.05,0.2,0.05,0,0.05,0,0,0,0,0,0,0
White Croaker,0.05,0,0,0.2,0.2,0.2,0.1,0,0,0.2,0.05,0,0,0,0,0,0,0,0,0,0
